2021.08.11 00:20:33 INFO  ce[][o.s.c.t.CeWorkerImpl] Execute task | project=SimpleExpressExample:Test | type=REPORT | id=AXsylQOgjjGvELeIQD8d | submitter=admin
2021.08.11 00:20:34 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Extract report | status=SUCCESS | time=213ms
2021.08.11 00:20:34 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Persist scanner context | status=SUCCESS | time=50ms
2021.08.11 00:20:34 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Propagate analysis warnings from scanner report | status=SUCCESS | time=69ms
2021.08.11 00:20:34 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Execute DB migrations for current project | status=SUCCESS | time=34ms
2021.08.11 00:20:34 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Generate analysis UUID | status=SUCCESS | time=1ms
2021.08.11 00:20:34 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Load analysis metadata | status=SUCCESS | time=90ms
2021.08.11 00:20:34 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Initialize | status=SUCCESS | time=0ms
2021.08.11 00:20:34 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Verify billing | status=SUCCESS | time=1ms
2021.08.11 00:20:35 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Build tree of components | components=110 | status=SUCCESS | time=223ms
2021.08.11 00:20:35 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Validate project | status=SUCCESS | time=9ms
2021.08.11 00:20:35 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Load quality profiles | status=SUCCESS | time=631ms
2021.08.11 00:20:35 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Load Quality gate | status=SUCCESS | time=29ms
2021.08.11 00:20:35 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Load new code period | status=SUCCESS | time=44ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Detect file moves | reportFiles=62 | dbFiles=62 | addedFiles=0 | status=SUCCESS | time=62ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Load duplications | duplications=0 | status=SUCCESS | time=6ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Compute cross project duplications | status=SUCCESS | time=0ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Compute size measures | status=SUCCESS | time=50ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Compute new coverage | status=SUCCESS | time=659ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Compute coverage measures | status=SUCCESS | time=22ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Compute comment measures | status=SUCCESS | time=14ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Copy custom measures | status=SUCCESS | time=6ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Compute duplication measures | status=SUCCESS | time=5ms
2021.08.11 00:20:36 INFO  ce[AXsylQOgjjGvELeIQD8d][o.s.c.t.s.ComputationStepExecutor] Compute size measures on new code | status=SUCCESS | time=3ms
