2021.08.20 12:03:04 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2021.08.20 12:03:05 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2021.08.20 12:03:07 INFO  web[][o.e.p.PluginsService] no modules loaded
2021.08.20 12:03:07 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2021.08.20 12:03:07 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2021.08.20 12:03:07 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2021.08.20 12:03:09 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2021.08.20 12:03:09 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 7.9.5.38598 / cc0bd7b4d9e201f8b4939e5b674637feabf75207
2021.08.20 12:03:15 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.08.20 12:03:15 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2021.08.20 12:03:15 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.08.20 12:03:16 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2021.08.20 12:03:17 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2021.08.20 12:03:17 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2021.08.20 12:03:18 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@2395a7dc [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/properties*, ...]}]
2021.08.20 12:03:18 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2021.08.20 12:03:18 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2021.08.20 12:03:19 INFO  web[][o.s.s.e.IndexCreator] Create index [metadatas]
2021.08.20 12:03:20 INFO  web[][o.s.s.e.IndexCreator] Create type metadatas/metadata
2021.08.20 12:03:20 INFO  web[][o.s.s.e.IndexCreator] Create index [components]
2021.08.20 12:03:22 INFO  web[][o.s.s.e.IndexCreator] Create type components/auth
2021.08.20 12:03:22 INFO  web[][o.s.s.e.IndexCreator] Create index [projectmeasures]
2021.08.20 12:03:23 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/auth
2021.08.20 12:03:24 INFO  web[][o.s.s.e.IndexCreator] Create index [rules]
2021.08.20 12:03:25 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2021.08.20 12:03:25 INFO  web[][o.s.s.e.IndexCreator] Create index [issues]
2021.08.20 12:03:26 INFO  web[][o.s.s.e.IndexCreator] Create type issues/auth
2021.08.20 12:03:26 INFO  web[][o.s.s.e.IndexCreator] Create index [users]
